spa,msl,spa_n_caracteres,spa_n_palabras,spa_n_tokens_unicos,spa_longitud_media_palabra,spa_ratio_diversidad,msl_n_caracteres,msl_n_palabras,msl_n_tokens_unicos,msl_longitud_media_palabra,msl_ratio_diversidad,compresion_palabras,ratio_compresion,bin_long_spa
yo voy,yo ir,6.0,2.0,2.0,2.5,1.0,5.0,2.0,2.0,2.0,1.0,0.0,1.0,2 palabras
ve,tú ver,2.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.5,1.0,-1.0,2.0,1 palabra
vete,tú ir,4.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,-1.0,2.0,1 palabra
ve,tú ir,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,-1.0,2.0,1 palabra
vas,tú ir,3.0,1.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,-1.0,2.0,1 palabra
va,él ir,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,-1.0,2.0,1 palabra
vaya,él ir,4.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,-1.0,2.0,1 palabra
vaya,ella ir,4.0,1.0,1.0,4.0,1.0,7.0,2.0,2.0,3.0,1.0,-1.0,2.0,1 palabra
váyanse,ustedes ir,7.0,1.0,1.0,7.0,1.0,10.0,2.0,2.0,4.5,1.0,-1.0,2.0,1 palabra
vamos,nosotros ir,5.0,1.0,1.0,5.0,1.0,11.0,2.0,2.0,5.0,1.0,-1.0,2.0,1 palabra
vámonos,nosotros ir,7.0,1.0,1.0,7.0,1.0,11.0,2.0,2.0,5.0,1.0,-1.0,2.0,1 palabra
van,ustedes ir,3.0,1.0,1.0,3.0,1.0,10.0,2.0,2.0,4.5,1.0,-1.0,2.0,1 palabra
van,ellos ir,3.0,1.0,1.0,3.0,1.0,8.0,2.0,2.0,3.5,1.0,-1.0,2.0,1 palabra
fuiste,pasado tú ir,6.0,1.0,1.0,6.0,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,-2.0,3.0,1 palabra
fuiste,pasado tú ser,6.0,1.0,1.0,6.0,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,-2.0,3.0,1 palabra
fue,pasado él ir,3.0,1.0,1.0,3.0,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,-2.0,3.0,1 palabra
fue,pasado él ser,3.0,1.0,1.0,3.0,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,-2.0,3.0,1 palabra
fueron,pasado ellos ir,6.0,1.0,1.0,6.0,1.0,15.0,3.0,3.0,4.333333333333333,1.0,-2.0,3.0,1 palabra
fueron,pasado ellos ser,6.0,1.0,1.0,6.0,1.0,16.0,3.0,3.0,4.666666666666667,1.0,-2.0,3.0,1 palabra
fueron,pasado ustedes ir,6.0,1.0,1.0,6.0,1.0,17.0,3.0,3.0,5.0,1.0,-2.0,3.0,1 palabra
fueron,pasado ustedes ser,6.0,1.0,1.0,6.0,1.0,18.0,3.0,3.0,5.333333333333333,1.0,-2.0,3.0,1 palabra
ir,ir,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1 palabra
irse,ir,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1 palabra
iré,futuro yo ir,3.0,1.0,1.0,3.0,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,-2.0,3.0,1 palabra
irá,futuro él ir,3.0,1.0,1.0,3.0,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,-2.0,3.0,1 palabra
irás,futuro tú ir,4.0,1.0,1.0,4.0,1.0,12.0,3.0,3.0,3.3333333333333335,1.0,-2.0,3.0,1 palabra
